,nonadapt,adapt,novel
1128,None,None,j
1129,None,None,None
1130,None,None,None
1131,None,None,None
1132,None,None,None
1133,None,None,None
1134,None,None,j
1135,None,None,None
1136,None,None,None
1137,None,None,None
1138,None,None,None
1139,None,None,None
1140,None,None,None
1141,None,None,None
1142,None,None,None
1143,None,None,None
1144,None,None,None
1145,None,None,None
1146,None,None,None
1147,None,None,None
1148,None,None,None
1149,None,None,None
1150,None,None,None
1151,None,None,None
1152,None,None,None
1153,None,None,None
1154,None,None,None
1155,None,None,None
1156,None,None,None
1157,None,None,None
1158,None,None,None
1159,j,None,j
1160,None,None,j
1161,None,None,None
1162,None,None,None
1163,None,None,None
1164,None,None,j
1165,j,None,j
1166,None,None,j
1167,None,None,None
1168,None,None,None
1169,None,None,None
1170,None,None,None
1171,None,None,None
1172,None,None,None
1173,None,None,None
1174,None,None,None
1175,None,None,None
1176,j,j,j
1177,None,None,None
1178,None,None,None
1179,None,None,None
1180,None,None,None
1181,None,None,None
1182,None,None,None
1183,None,None,None
1184,None,None,None
1185,None,None,None
1186,None,None,None
1187,None,None,None
1188,None,None,None
1189,None,None,j
1190,None,None,None
1191,None,None,j
1192,None,None,None
1193,None,None,None
1194,None,j,j
1195,None,None,None
1196,None,None,None
1197,None,None,None
1198,None,None,None
1199,None,None,None
